Date,ITSA4
2025-04-01,9.192214965820312
2025-04-02,9.201952934265137
2025-04-03,9.367491722106934
2025-04-04,9.094841003417969
2025-04-07,9.153265953063965
2025-04-08,9.13379192352295
2025-04-09,9.348016738891602
2025-04-10,9.299328804016113
2025-04-11,9.396702766418457
2025-04-14,9.523290634155273
2025-04-15,9.64987850189209
2025-04-16,9.630404472351074
2025-04-17,9.68882942199707
2025-04-22,9.903054237365723
2025-04-23,10.06859302520752
2025-04-24,10.282819747924805
2025-04-25,10.29255485534668
2025-04-28,10.350980758666992
2025-04-29,10.350980758666992
2025-04-30,10.419142723083496
2025-05-02,10.253604888916016
2025-05-05,10.204916954040527
2025-05-06,10.175704956054688
2025-05-07,10.26334285736084
2025-05-08,10.321768760681152
2025-05-09,10.759955406188965
2025-05-12,10.516519546508789
2025-05-13,10.682055473327637
2025-05-14,10.71126937866211
2025-05-15,10.847594261169434
2025-05-16,10.925494194030762
2025-05-19,11.04234504699707
2025-05-20,11.061819076538086
2025-05-21,10.896281242370605
2025-05-22,10.759955406188965
2025-05-23,10.847594261169434
2025-05-26,10.896281242370605
2025-05-27,10.993656158447266
2025-05-28,10.876806259155273
2025-05-29,10.798905372619629
2025-05-30,10.779430389404297
2025-06-02,10.734085083007812
2025-06-03,10.714568138122559
2025-06-04,10.685294151306152
2025-06-05,10.568194389343262
2025-06-06,10.548678398132324
2025-06-09,10.519402503967285
2025-06-10,10.441336631774902
2025-06-11,10.538919448852539
2025-06-12,10.558435440063477
2025-06-13,10.451095581054688
2025-06-16,10.587711334228516
2025-06-17,10.636502265930176
2025-06-18,10.616985321044922
2025-06-20,10.548678398132324
2025-06-23,10.459486961364746
2025-06-24,10.685161590576172
2025-06-25,10.537982940673828
2025-06-26,10.537982940673828
2025-06-27,10.508546829223633
